gid,Season Type,Neutral,Date,Team,Team Long,isHome,Away Team,Away Team Long,Home Team,Home Team Long,Away Score,Home Score,5on5 Flurry Xgoals,5on5 goals,5on4 Flurry Xgoals,5on4 goals,4on5 Flurry Xgoals,4on5 goals,opp_5on5 Flurry Xgoals,opp_5on5 goals,opp_5on4 Flurry Xgoals,opp_5on4 goals,opp_4on5 Flurry Xgoals,opp_4on5 goals,EV_home_goals,PP_home_goals,SH_home_goals,EV_away_goals,PP_away_goals,SH_away_goals
2024020032,2,False,2024-10-12,DAL,Dallas Stars,True,NYI,New York Islanders,DAL,Dallas Stars,0,3,1.343,2.0,0.464,0.0,0.0,0.0,2.798,0.0,0.014,0.0,0.15,0.0,3,0,0,0,0,0
2024020033,2,False,2024-10-12,MIN,Minnesota Wild,True,SEA,Seattle Kraken,MIN,Minnesota Wild,5,4,1.76,3.0,0.46599999999999997,1.0,0.0,0.0,1.205,2.0,0.777,1.0,0.0,0.0,3,1,0,3,1,0
2024020034,2,False,2024-10-12,COL,Colorado Avalanche,True,CBJ,Columbus Blue Jackets,COL,Colorado Avalanche,6,4,2.497,1.0,1.051,2.0,0.0,0.0,1.405,5.0,0.17700000000000002,0.0,0.108,0.0,2,2,0,5,1,0
2024020035,2,False,2024-10-12,CGY,Calgary Flames,True,PHI,Philadelphia Flyers,CGY,Calgary Flames,3,6,2.1229999999999998,3.0,0.867,0.0,0.077,0.0,1.794,1.0,0.125,0.0,0.208,1.0,4,2,0,1,1,1
2024020036,2,False,2024-10-12,EDM,Edmonton Oilers,True,CHI,Chicago Blackhawks,EDM,Edmonton Oilers,5,2,2.831,1.0,0.477,1.0,0.0,0.0,0.854,2.0,1.377,3.0,0.0,0.0,1,1,0,2,3,0
2024020037,2,False,2024-10-12,SJS,San Jose Sharks,True,ANA,Anaheim Ducks,SJS,San Jose Sharks,2,0,2.872,0.0,0.507,0.0,0.0,0.0,1.613,1.0,0.07100000000000001,0.0,0.0,0.0,0,0,0,2,0,0
2024020038,2,False,2024-10-13,WPG,Winnipeg Jets,True,MIN,Minnesota Wild,WPG,Winnipeg Jets,1,2,1.879,0.0,0.346,0.0,0.0,0.0,1.701,1.0,0.048,0.0,0.0,0.0,1,1,0,1,0,0
2024020039,2,False,2024-10-13,DAL,Dallas Stars,True,SEA,Seattle Kraken,DAL,Dallas Stars,0,2,2.038,2.0,0.661,0.0,0.007,0.0,1.486,0.0,0.5650000000000001,0.0,0.0,0.0,2,0,0,0,0,0
2024020040,2,False,2024-10-13,EDM,Edmonton Oilers,True,CGY,Calgary Flames,EDM,Edmonton Oilers,4,1,2.2729999999999997,1.0,0.0,0.0,0.099,0.0,2.723,3.0,0.038,0.0,0.01,0.0,1,0,0,4,0,0
2024020041,2,False,2024-10-13,VGK,Vegas Golden Knights,True,ANA,Anaheim Ducks,VGK,Vegas Golden Knights,1,3,2.337,2.0,1.803,1.0,0.143,0.0,2.791,1.0,0.016,0.0,0.095,0.0,2,1,0,1,0,0
