,gid_nhl,Season Type,Neutral,Date,Away Team,Away Score,Home Team,Home Score,map,gid_ubiq,open_away_ml,close_away_ml,open_home_ml,close_home_ml,open_total_line,open_total_over,open_total_under,close_total_line,close_total_over,close_total_under,open_hc_line,open_hc_away,open_hc_home,close_hc_line,close_hc_away,close_hc_home
11,2024020012,2,False,2024-10-10,LAK,3,BUF,1,2024-10-10-LAK-BUF,122565,-112.0,102.0,-101.0,-112.0,6.5,105.0,-120.0,6.0,-105.0,-107.0,-1.5,219.0,-255.0,-1.5,240.0,-276.0
12,2024020013,2,False,2024-10-10,FLA,1,OTT,3,2024-10-10-FLA-OTT,122564,-129.0,-130.0,114.0,118.0,6.5,-101.0,-114.0,6.0,-110.0,-102.0,-1.5,191.0,-221.0,-1.5,182.0,-205.0
13,2024020015,2,False,2024-10-10,TOR,4,NJD,2,2024-10-10-TOR-NJD,122567,124.0,126.0,-140.0,-139.0,6.5,-111.0,-103.0,6.5,-121.0,108.0,1.5,-197.0,172.0,1.5,-192.0,171.0
14,2024020016,2,False,2024-10-10,UTA,5,NYI,4,2024-10-10-UTA-NYI,122569,133.0,124.0,-150.0,-138.0,6.0,100.0,-114.0,6.0,106.0,-119.0,1.5,-193.0,169.0,1.5,-202.0,180.0
15,2024020014,2,False,2024-10-10,PIT,6,DET,3,2024-10-10-PIT-DET,122568,114.0,129.0,-128.0,-143.0,6.5,-112.0,-102.0,6.5,-124.0,111.0,1.5,-216.0,187.0,1.5,-192.0,171.0
16,2024020017,2,False,2024-10-10,DAL,4,NSH,3,2024-10-10-DAL-NSH,122571,-110.0,-127.0,-102.0,115.0,6.0,-121.0,105.0,6.5,100.0,-112.0,-1.5,224.0,-262.0,-1.5,196.0,-221.0
17,2024020018,2,False,2024-10-10,CBJ,2,MIN,3,2024-10-10-CBJ-MIN,122570,196.0,232.0,-227.0,-266.0,6.5,104.0,-119.0,6.5,105.0,-118.0,1.5,-127.0,113.0,1.5,-110.0,100.0
18,2024020019,2,False,2024-10-10,STL,5,SJS,4,2024-10-10-STL-SJS,122572,-165.0,-164.0,145.0,147.0,6.0,-107.0,-107.0,6.0,-102.0,-110.0,-1.5,151.0,-172.0,-1.5,154.0,-172.0
19,2024020020,2,False,2024-10-11,TBL,4,CAR,1,2024-10-11-TBL-CAR,124225,121.0,133.0,-136.0,-147.0,6.5,105.0,-120.0,6.0,-109.0,-103.0,1.5,-207.0,180.0,1.5,-192.0,172.0
20,2024020021,2,False,2024-10-11,CHI,1,WPG,2,2024-10-11-CHI-WPG,124229,192.0,226.0,-222.0,-258.0,6.0,-105.0,-109.0,6.0,-111.0,-101.0,1.5,-132.0,117.0,1.5,-109.0,-101.0
21,2024020022,2,False,2024-10-11,PHI,3,VAN,2,2024-10-11-PHI-VAN,124233,133.0,170.0,-150.0,-191.0,6.0,-113.0,-101.0,6.0,-107.0,-105.0,1.5,-186.0,163.0,1.5,-149.0,134.0
22,2024020023,2,False,2024-10-11,STL,3,VGK,4,2024-10-11-STL-VGK,124232,164.0,185.0,-188.0,-208.0,6.0,-103.0,-111.0,6.0,-104.0,-108.0,1.5,-156.0,137.0,1.5,-143.0,129.0
23,2024020024,2,False,2024-10-12,LAK,1,BOS,2,2024-10-12-LAK-BOS,124484,133.0,143.0,-151.0,-158.0,5.5,-118.0,103.0,6.0,104.0,-117.0,1.5,-194.0,169.0,1.5,-182.0,163.0
24,2024020025,2,False,2024-10-12,FLA,2,BUF,5,2024-10-12-FLA-BUF,124486,-129.0,-106.0,114.0,-104.0,6.0,101.0,-115.0,6.0,101.0,-114.0,-1.5,196.0,-227.0,-1.5,220.0,-251.0
25,2024020026,2,False,2024-10-12,PIT,2,TOR,4,2024-10-12-PIT-TOR,124490,162.0,158.0,-185.0,-177.0,6.5,-110.0,-104.0,6.5,-117.0,104.0,1.5,-150.0,133.0,1.5,-149.0,134.0
26,2024020027,2,False,2024-10-12,OTT,1,MTL,4,2024-10-12-OTT-MTL,124492,-131.0,-154.0,116.0,138.0,6.0,-113.0,-101.0,6.0,-116.0,103.0,-1.5,190.0,-220.0,-1.5,173.0,-194.0
