date,game-ID,home_team_abv,away_team_abv,gametime,close_away_ml,close_home_ml,close_total_line,close_total_over,close_total_under,home_goalie,away_goalie
2024-10-15,2024020048,TBL,VAN,7:00:00,117.0,-130.0,6.5,105.0,-118.0,Andrei Vasilevskiy,Arturs Silovs
2024-10-15,2024020049,WSH,VGK,7:00:00,-128.0,116.0,5.5,-117.0,104.0,Logan Thompson,Adin Hill
2024-10-15,2024020050,CAR,NJD,7:00:00,143.0,-159.0,6.0,-113.0,101.0,Pyotr Kochetkov,Jacob Markstrom
2024-10-15,2024020051,CBJ,FLA,7:00:00,-139.0,123.0,6.0,-107.0,-106.0,Elvis Merzlikins,Spencer Knight
2024-10-15,2024020052,STL,MIN,7:00:00,-115.0,105.0,6.0,-104.0,-108.0,Jordan Binnington,Filip Gustavsson
2024-10-15,2024020053,NSH,SEA,7:00:00,170.0,-190.0,6.0,-107.0,-105.0,Juuse Saros,Joey Daccord
2024-10-15,2024020054,DAL,SJS,7:00:00,337.0,-400.0,6.0,105.0,-118.0,Jake Oettinger,Mackenzie Blackwood
2024-10-15,2024020055,CGY,CHI,7:00:00,136.0,-151.0,6.5,103.0,-116.0,Dustin Wolf,Petr Mrazek
2024-10-15,2024020056,EDM,PHI,7:00:00,176.0,-198.0,6.5,-111.0,-101.0,Stuart Skinner,Samuel Ersson
2024-10-16,2024020057,PIT,BUF,7:00:00,101.0,-112.0,6.5,-102.0,-110.0,Joel Blomqvist,Ukko-Pekka Luukkonen
2024-10-16,2024020058,TOR,LAK,7:00:00,175.0,-196.0,6.0,-117.0,104.0,Anthony Stolarz,David Rittich
2024-10-16,2024020059,COL,BOS,7:00:00,121.0,-134.0,6.5,-123.0,109.0,Alexandar Georgiev,Joonas Korpisalo
2024-10-16,2024020060,ANA,UTA,7:00:00,-149.0,134.0,6.0,-120.0,106.0,Lukas Dostal,Connor Ingram
2024-10-17,2024020061,MTL,LAK,7:00:00,-132.0,119.0,6.0,103.0,-115.0,Sam Montembeault,David Rittich
2024-10-17,2024020062,OTT,NJD,7:00:00,-140.0,127.0,6.5,-101.0,-111.0,Anton Forsberg,Jacob Markstrom
2024-10-17,2024020064,TBL,VGK,7:00:00,129.0,-142.0,6.0,-115.0,102.0,Andrei Vasilevskiy,Adin Hill
2024-10-17,2024020065,FLA,VAN,7:00:00,-111.0,101.0,5.5,101.0,-114.0,Sergei Bobrovsky,Kevin Lankinen
2024-10-17,2024020066,WSH,DAL,7:00:00,-148.0,133.0,5.5,-119.0,106.0,Charlie Lindgren,Casey DeSmith
2024-10-17,2024020067,CBJ,BUF,7:00:00,-141.0,127.0,6.5,107.0,-120.0,Daniil Tarasov,Devon Levi
2024-10-17,2024020063,DET,NYR,7:00:00,-145.0,131.0,6.5,-108.0,-104.0,Cam Talbot,Jonathan Quick
2024-10-17,2024020068,STL,NYI,7:00:00,-140.0,126.0,6.0,105.0,-118.0,Joel Hofer,Ilya Sorokin
2024-10-17,2024020069,NSH,EDM,7:00:00,-120.0,109.0,6.5,-134.0,119.0,Juuse Saros,Calvin Pickard
2024-10-17,2024020070,CHI,SJS,7:00:00,160.0,-179.0,6.0,-106.0,-106.0,Petr Mrazek,Vitek Vanecek
2024-10-17,2024020071,SEA,PHI,7:00:00,116.0,-130.0,6.0,-114.0,100.0,Philipp Grubauer,Ivan Fedotov
